id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
gestao-vite-literal-value-22027d22,gestao-vite,3,literal-value,O id do bloco atual.,,apps/gestao-vite/src/paginas/builder/variaveis.ts:34,0,unknown,,,candidate,,
gestao-vite-literal-value-c7d393e4,gestao-vite,3,literal-value,O mTLS (abreviação de TLS mútuo no inglês) é um método de autenticação que verifica se cada parte em uma conexão de rede tem uma chave privada para garantir autenticidade da identifcação. Você pode cadastrar certificados de autenticação que serão usados nas suas operações no Pipe.,,apps/gestao-vite/src/paginas/contrato/certificados/tela.tsx:42,0,unknown,,,candidate,,
gestao-vite-literal-value-eceb334c,gestao-vite,3,literal-value,O nome de seu fluxo não pode começar com números ou caracteres especiais.,,apps/gestao-vite/src/paginas/criar/fluxo/regras.ts:113,0,unknown,,,candidate,,
gestao-vite-literal-value-d2bf4d79,gestao-vite,3,literal-value,O nome do contato.,,apps/gestao-vite/src/paginas/builder/variaveis.ts:30,0,unknown,,,candidate,,
gestao-vite-literal-value-02ef6f87,gestao-vite,3,literal-value,O nome do seu roteador não pode começar com números ou caracteres especiais.,,apps/gestao-vite/src/paginas/criar/roteador/regras.ts:57,0,unknown,,,candidate,,
gestao-vite-literal-value-bc020bc0,gestao-vite,3,literal-value,"O roteador ajuda a reunir vários fluxos em um só. Dessa forma, seu cliente terá acesso a múltiplos serviços conversando com um único contato inteligente.",,apps/gestao-vite/src/paginas/criar/roteador/regras.ts:32,0,unknown,,,candidate,,
gestao-vite-literal-value-b1c34802,gestao-vite,3,literal-value,O telefone do contato.,,apps/gestao-vite/src/paginas/builder/variaveis.ts:31,0,unknown,,,candidate,,
gestao-vite-literal-value-72feef2e,gestao-vite,3,literal-value,O tipo (MIME) da última mensagem recebida.,,apps/gestao-vite/src/paginas/builder/variaveis.ts:29,0,unknown,,,candidate,,
gestao-vite-literal-value-19b419f0,gestao-vite,3,literal-value,Ótimo ponto de partida para construir o seu contato inteligente profissional. Funcionalidades pré-configuradas e atendimento humano para você começar a usar e poupar tempo no desenvolvimento.,,apps/gestao-vite/src/paginas/criar/fluxo/regras.ts:60,0,unknown,,,candidate,,
gestao-vite-literal-value-bf95970a,gestao-vite,3,literal-value,overview,,apps/gestao-vite/src/paginas/fluxo/analise/abas.ts:83,5,unknown,,,candidate,,
