id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
api-symbol-189d1176,api,2,symbol,primeira,,apps/api/tests/desk-acoes.test.ts:322,377,no,,,candidate,,
api-symbol-b1b3350f,api,2,symbol,primeira,,apps/api/tests/desk-acoes.test.ts:404,377,no,,,candidate,,
api-symbol-af50ffd5,api,2,symbol,primeira,,apps/api/tests/integracoes.test.ts:238,377,no,,,candidate,,
api-symbol-3eab2794,api,2,symbol,primeira,,apps/api/tests/monitoramento-conversas.test.ts:106,377,no,,,candidate,,
api-symbol-7f11e591,api,2,symbol,primeira,,apps/api/tests/ponta-a-ponta.test.ts:374,377,no,,,candidate,,
api-symbol-5872e1c1,api,2,symbol,primeiraResposta,,apps/api/src/dominio/envio.ts:237,13,no,,,candidate,,
api-symbol-41a85a8a,api,2,symbol,primeiraResposta,,apps/api/tests/sla-motor.test.ts:164,13,no,,,candidate,,
api-symbol-56a13018,api,2,symbol,primeiraRespostaSeg,,apps/api/src/dominio/gestao/monitoramento.ts:458,13,no,,,candidate,,
api-symbol-223460f9,api,2,symbol,primeiro,,apps/api/src/controladores/redirecionamento.ts:34,258,no,,,candidate,,
api-symbol-0eea6a8f,api,2,symbol,primeiro,,apps/api/src/dominio/gestao/permissoes-do-atendente.ts:164,258,no,,,candidate,,
api-symbol-ecbbcfae,api,2,symbol,primeiro,,apps/api/src/dominio/gestao/pfx.ts:115,258,no,,,candidate,,
api-symbol-3c213be3,api,2,symbol,primeiro,,apps/api/src/dominio/gestao/pfx.ts:77,258,no,,,candidate,,
api-symbol-4affbd62,api,2,symbol,primeiro,,apps/api/src/dominio/twenty.ts:113,258,no,,,candidate,,
api-symbol-3ce46e43,api,2,symbol,primeiro,,apps/api/tests/canal-do-fluxo.test.ts:231,258,no,,,candidate,,
api-symbol-e14fdc73,api,2,symbol,primeiro,,apps/api/tests/convites.test.ts:243,258,no,,,candidate,,
api-symbol-297e9cdf,api,2,symbol,primeiro,,apps/api/tests/email.test.ts:250,258,no,,,candidate,,
api-symbol-d6744df6,api,2,symbol,primeiro,,apps/api/tests/mensagens-ativas.test.ts:169,258,no,,,candidate,,
api-symbol-51d450d7,api,2,symbol,primeiroErro,,apps/api/src/dominio/desk/acoes.ts:305,5,no,,,candidate,,
api-symbol-e03189a1,api,2,symbol,prioridadeDe,,apps/api/tests/sla-motor.test.ts:137,4,no,,,candidate,,
api-symbol-bf4cc3fb,api,2,symbol,prioridadeDoTelefone,,apps/api/tests/prioridade.test.ts:137,4,no,,,candidate,,
api-symbol-982ee133,api,2,symbol,provisionar,,apps/api/tests/convites.test.ts:547,21,no,,,candidate,,
api-symbol-be6d1277,api,2,symbol,provisionarCliente,,apps/api/src/provisionar.ts:110,11,no,,,candidate,,
api-symbol-f3c6e7d6,api,2,symbol,publicacao,,apps/api/tests/gerar-fixtures-jsonb.helper.ts:64,1,no,,,candidate,,
api-symbol-fde0b35d,api,2,symbol,PUBLICAR_FLUXO,,apps/api/src/dominio/gestao/builder-do-fluxo.ts:74,2,no,,,candidate,,
api-symbol-02468932,api,2,symbol,publicarServico,,apps/api/tests/roteador.test.ts:461,4,no,,,candidate,,
api-symbol-e2f70073,api,2,symbol,quantasVariaveis,,apps/api/tests/gerar-fixtures-jsonb.helper.ts:356,4,no,,,candidate,,
api-symbol-eff63683,api,2,symbol,quebrarPorMuitas,,apps/api/src/dominio/gestao/atendimento.ts:139,2,no,,,candidate,,
api-symbol-7d6065ed,api,2,symbol,reautorizacaoPendente,,apps/api/src/dominio/whatsapp/canal.ts:132,19,no,,,candidate,,
api-symbol-70a3c223,api,2,symbol,recategorizacao,,apps/api/tests/email.test.ts:97,6,no,,,candidate,,
api-symbol-86d1866a,api,2,symbol,receberDaConta,,apps/api/src/controladores/webhooks-whatsapp.ts:114,1,no,,,candidate,,
api-symbol-454da6dc,api,2,symbol,receberMensagem,,apps/api/src/dominio/entrada.ts:212,3,no,,,candidate,,
api-symbol-f83c7696,api,2,symbol,RECURSOS_DO_FLUXO,,apps/api/src/dominio/gestao/equipe-do-fluxo.ts:76,2,no,,,candidate,,
api-symbol-8b5c3b82,api,2,symbol,redirecionarNoRoteador,,apps/api/src/dominio/roteador.ts:126,5,no,,,candidate,,
api-symbol-8706c2ca,api,2,symbol,reenviarConvite,,apps/api/src/dominio/convites.ts:221,9,no,,,candidate,,
api-symbol-facffee4,api,2,symbol,reenviarMensagem,,apps/api/src/dominio/envio.ts:428,4,no,,,candidate,,
api-symbol-53eb0441,api,2,symbol,registrarDominio,,apps/api/src/dominio/dominios.ts:74,11,no,,,candidate,,
api-symbol-7d6246d5,api,2,symbol,RegistroDeVerificacao,,apps/api/src/dominio/dominios.ts:25,5,no,,,candidate,,
api-symbol-fd0926b9,api,2,symbol,registroDeVerificacao,,apps/api/src/dominio/dominios.ts:65,4,no,,,candidate,,
api-symbol-a9139dc5,api,2,symbol,REGRA_GERENCIAR,,apps/api/src/dominio/gestao/cadastros.ts:39,13,no,,,candidate,,
api-symbol-e72c8b0f,api,2,symbol,RegraDeFila,,apps/api/src/dominio/gestao/regra-fila.ts:97,21,no,,,candidate,,
api-symbol-dce3aa01,api,2,symbol,RegraDeFilaCadastrada,,apps/api/src/dominio/gestao/cadastros.ts:703,10,no,,,candidate,,
api-symbol-79bae4d7,api,2,symbol,RegraFilaGravada,,apps/api/src/dominio/gestao/cadastros.ts:911,4,no,,,candidate,,
api-symbol-df604d49,api,2,symbol,regraFilaViva,,apps/api/src/dominio/gestao/cadastros.ts:922,4,no,,,candidate,,
api-symbol-fc6590ba,api,2,symbol,RegraPrioridadeGravada,,apps/api/src/dominio/gestao/regras-prioridade.ts:53,6,no,,,candidate,,
api-symbol-0c9e246e,api,2,symbol,RegraPrioridadeParaMotor,,apps/api/src/dominio/gestao/prioridade-motor.ts:35,5,no,,,candidate,,
api-symbol-329476bc,api,2,symbol,regraPrioridadeViva,,apps/api/src/dominio/gestao/regras-prioridade.ts:168,3,no,,,candidate,,
api-symbol-8b991733,api,2,symbol,regrasDeAtendimento,,apps/api/src/controladores/gestao-cadastros.ts:77,1,no,,,candidate,,
api-symbol-9f2b994d,api,2,symbol,regrasDePrioridade,,apps/api/src/controladores/gestao-cadastros.ts:161,3,no,,,candidate,,
api-symbol-a54029ca,api,2,symbol,regrasDePrioridade,,apps/api/src/dominio/fluxo.ts:750,3,no,,,candidate,,
api-symbol-d3f0a395,api,2,symbol,regrasVencedorasPorAlvo,,apps/api/src/dominio/gestao/sla-motor.ts:69,8,no,,,candidate,,
api-symbol-e2177097,api,2,symbol,RELACAO,,apps/api/src/dominio/dicionario-crm.ts:82,3,no,,,candidate,,
api-symbol-383b0715,api,2,symbol,relatorio,,apps/api/src/controladores/gestao-operacao.ts:267,26,no,,,candidate,,
api-symbol-d1087342,api,2,symbol,relatorio,,apps/api/src/dominio/gestao/monitoramento.ts:540,26,no,,,candidate,,
api-symbol-8c54f221,api,2,symbol,RelatorioAtendimento,,apps/api/src/dominio/gestao/atendimento.ts:60,7,no,,,candidate,,
api-symbol-b01f7bf4,api,2,symbol,relatorioDeAtendimento,,apps/api/src/controladores/gestao-operacao.ts:253,1,no,,,candidate,,
